,country,child_mort,exports,health,imports,inflation,life_expec,total_fer,gdpp,cluster
83,Kyrgyz Republic,17.4,51.6,6.18,81.7,11.7,71.9,3.1,880.0,2
84,Lao,78.9,35.4,4.47,49.3,9.2,63.8,3.15,1140.0,1
85,Latvia,3.7,53.7,6.68,55.1,9.9,73.2829268292683,1.36,27220.303,0
86,Lebanon,8.2,35.8,7.03,60.2,0.238,75.047,1.61,10341.159,2
87,Lesotho,72.9,39.4,11.1,101.0,6.9,53.062,3.3,2312.9583,1
88,Liberia,76.0,19.1,11.8,92.6,10.6,60.747,5.02,811.2146,1
89,Libya,10.8,65.6,3.88,42.1,3.4,71.911,2.41,12755.204,2
90,Lithuania,3.3,65.3,7.04,67.2,9.3,74.3390243902439,1.5,30863.32,0
91,Luxembourg,2.7,175.0,7.77,142.0,3.2,82.7487804878049,1.63,55484.777,0
92,"Macedonia, FYR",10.4,39.8,7.09,58.1,2.04,74.0,1.47,4540.0,2
93,Madagascar,66.0,25.0,3.77,43.0,10.5,64.485,4.6,1367.0938,1
94,Malawi,41.9,22.8,6.59,34.9,27.7,62.904,5.31,1190.0509,1
95,Malaysia,7.6,86.9,4.39,71.0,2.9,74.884,2.15,26628.707,0
96,Maldives,6.0,77.6,6.33,65.4,3.5,79.918,2.23,7100.0,0
97,Mali,97.1,22.8,4.98,35.1,5.0,58.941,6.55,1651.9413,1
98,Malta,5.8,153.0,8.65,154.0,5.8,82.8609756097561,1.36,34496.34,0
99,Mauritania,40.5,50.7,4.41,61.2,7.5,64.364,4.98,3680.3662,1
100,Mauritius,16.6,51.2,6.0,62.2,7.8,73.680243902439,1.57,20643.094,2
101,"Micronesia, Fed. Sts.",24.9,23.5,14.2,81.0,3.8,70.71,3.46,2860.0,2
102,Moldova,14.2,39.2,11.7,78.5,13.3,68.846,1.27,6674.871,2
103,Mongolia,14.7,46.7,5.44,56.7,12.3,70.975,2.64,13442.906,2
104,Montenegro,2.3,37.0,9.11,62.7,8.3,73.8243902439024,1.77,20941.805,0
105,Morocco,18.0,32.2,5.2,43.0,6.3,74.042,2.58,8400.127,2
106,Mozambique,69.6,31.5,5.21,46.2,7.4,59.325,5.56,1087.836,1
107,Myanmar,41.8,0.109,1.97,0.0659,14.2,65.672,2.41,5177.4326,2
108,Namibia,39.0,47.8,6.78,60.7,6.0,59.269,3.6,7979.328,1
109,Nepal,27.2,9.58,5.25,36.4,7.8,68.45,2.61,3013.5178,2
110,Netherlands,4.1,72.0,11.9,63.6,4.0,81.4609756097561,1.79,49669.867,0
111,New Zealand,4.7,30.3,10.1,28.0,4.9,82.2073170731707,2.17,38250.12,0
112,Niger,115.2,22.2,5.16,49.1,4.6,61.576,7.49,1007.72095,1
113,Nigeria,110.8,25.3,5.07,17.4,25.1,52.676,5.84,5070.4927,1
114,Norway,2.2,39.7,9.48,28.5,5.8,83.1634146341463,1.95,88366.22,0
115,Oman,10.1,65.7,2.77,41.2,1.1,72.541,2.9,47988.65,2
116,Pakistan,63.3,13.5,2.2,19.4,29.2,66.098,3.85,5531.723,1
117,Panama,13.9,70.0,8.1,78.2,1.5,76.223,2.62,23557.02,0
118,Paraguay,18.2,55.1,5.87,51.5,4.7,70.262,2.73,8762.771,2
119,Peru,14.1,27.8,5.08,23.8,6.5,72.377,2.54,12762.967,2
120,Philippines,25.7,34.8,3.61,36.6,5.8,69.266,3.16,8370.666,2
121,Poland,4.3,40.1,7.46,42.1,12.0,75.6024390243903,1.41,32468.402,0
122,Portugal,3.1,29.9,11.0,37.4,5.3,81.0731707317073,1.39,28992.059,0
123,Qatar,5.3,62.3,1.81,23.8,2.8,79.272,2.07,149171.11,0
124,Romania,6.4,32.6,5.58,38.8,10.7,72.9609756097561,1.59,26197.904,2
125,Russia,10.0,29.2,5.08,21.1,14.2,69.2,1.57,25437.107,2
126,Rwanda,39.4,12.0,10.5,30.0,14.5,66.072,4.51,2198.0662,1
127,Samoa,16.7,29.2,6.47,53.1,12.0,72.767,4.34,3450.0,2
128,Saudi Arabia,6.7,49.6,4.29,33.0,2.5,76.936,2.96,53516.91,0
129,Senegal,38.6,24.9,5.66,40.3,6.1,67.093,5.06,2660.6816,1
130,Serbia,5.5,32.9,10.4,47.9,12.4,72.7307317073171,1.4,17097.686,2
131,Seychelles,13.9,93.8,3.4,108.0,-0.8,73.3975609756097,2.17,31055.39,0
132,Sierra Leone,104.7,16.8,13.1,34.5,42.9,60.062,5.2,1690.4982,1
133,Singapore,2.1,200.0,3.96,174.0,5.5,83.4414634146342,1.15,80320.086,0
134,Slovak Republic,5.6,76.3,8.79,77.8,10.9,74.7146341463415,1.43,16600.0,0
135,Slovenia,2.2,64.3,9.41,62.9,7.4,80.8756097560976,1.57,32673.762,0
136,Solomon Islands,18.8,49.3,8.55,81.2,4.9,70.348,4.24,1290.0,2
137,South Africa,32.8,28.6,8.94,27.4,5.8,62.341,2.59,11415.887,2
138,South Korea,4.1,49.4,6.93,46.2,3.16,80.1,1.23,41320.9,0
139,Spain,3.0,25.5,9.54,26.8,3.5,83.1780487804878,1.37,34123.387,0
140,Sri Lanka,6.7,19.6,2.94,26.8,22.8,76.399,2.2,10705.481,2
141,St. Vincent and the Grenadines,13.7,26.9,4.47,57.1,4.44,69.629,2.07,6230.0,2
142,Sudan,54.9,19.7,6.32,17.2,256.2,65.267,4.88,1480.0,1
143,Suriname,17.2,52.5,7.01,38.4,53.3,70.274,2.52,8300.0,2
144,Sweden,2.5,46.2,9.63,40.7,6.9,83.1560975609756,1.98,47126.13,0
145,Switzerland,3.8,64.0,11.5,53.3,2.2,83.8512195121951,1.52,63323.254,0
146,Tajikistan,31.4,14.9,5.98,58.6,4.6,71.594,3.51,5507.5454,2
147,Tanzania,47.1,18.7,6.01,29.1,4.0,66.201,5.43,3057.3286,1
148,Thailand,8.3,66.5,3.88,60.8,1.5,78.715,1.55,16421.072,2
149,Timor-Leste,50.5,2.2,9.12,27.8,6.0,67.737,6.23,3600.0,1
150,Togo,62.6,40.2,7.65,57.3,5.0,61.619,4.87,1586.5889,1
151,Tonga,11.1,12.4,5.07,60.3,10.2,70.986,3.91,3550.0,2
152,Tunisia,16.3,50.5,6.21,55.3,9.4,73.772,2.14,10913.846,2
153,Turkey,19.1,20.4,6.74,25.5,7.01,78.2,2.15,27361.988,2
154,Turkmenistan,41.4,76.3,2.5,44.5,5.9,69.264,2.83,17234.555,2
155,Uganda,42.1,17.1,9.01,28.6,5.8,62.705,6.15,2122.0278,1
156,Ukraine,8.2,47.1,7.72,51.1,17.7,69.6478048780488,1.44,7749.0996,2
157,United Arab Emirates,6.4,77.7,3.66,63.6,3.1,78.71,1.87,77203.67,0
158,United Kingdom,4.2,28.2,9.64,30.8,7.7,80.7,1.92,38406.53,0
159,United States,6.2,12.4,17.9,15.8,4.1,76.3292682926829,1.93,58487.465,0
160,Uruguay,5.8,26.3,8.35,25.4,6.1,75.436,2.08,20181.94,2
161,Uzbekistan,14.1,31.7,5.81,28.5,10.2,70.862,2.34,12559.401,2
162,Vanuatu,23.2,46.6,5.25,52.7,9.3,70.449,3.5,2970.0,2
163,Venezuela,17.1,28.5,4.91,17.6,360.0,75.4,2.47,5267.1753,2
164,Vietnam,23.3,72.0,6.84,80.2,3.4,73.1,1.95,8050.359,2
165,Yemen,56.3,30.0,5.18,34.4,14.9,67.5,4.67,1959.3195,1
166,Zambia,57.7,37.0,5.89,30.9,10.6,61.223,5.4,3342.4214,1
